X.1,X.2,X.3,STANDARD,X.4,X.5,X.6,1/2 PPR,X.7,X.8,X.9,FULL PPR,X.10
Player,null,Current Value,Previous Value,Change,null,Current Value,Previous Value,Change,null,Current Value,Previous Value,Change
Christian McCaffrey,null,45,43,2,null,47,45,2,null,49,47,2
Dalvin Cook,null,42,42,—,null,44,44,—,null,45,45,—
Derrick Henry,null,42,42,—,null,43,43,—,null,44,43,1
Aaron Jones,null,36,32,4,null,38,33,5,null,39,34,5
Nick Chubb,null,36,35,1,null,36,36,—,null,37,37,—
Alvin Kamara,null,36,42,-6,null,38,44,-6,null,40,46,-6
Joe Mixon,null,33,32,1,null,35,33,2,null,36,34,2
Jonathan Taylor,null,33,34,-1,null,35,36,-1,null,36,38,-2
Ezekiel Elliott,null,33,36,-3,null,35,38,-3,null,36,39,-3
Austin Ekeler,null,26,26,—,null,28,28,—,null,30,30,—
Antonio Gibson,null,26,26,—,null,28,28,—,null,29,29,—
Najee Harris,null,26,24,2,null,28,26,2,null,29,27,2
Saquon Barkley,null,26,26,—,null,28,28,—,null,30,30,—
Chris Carson,null,22,20,2,null,24,22,2,null,25,23,2
David Montgomery,null,22,26,-4,null,24,28,-4,null,25,29,-4
D'Andre Swift,null,20,17,3,null,22,19,3,null,24,21,3
Clyde Edwards-Helaire,null,19,22,-3,null,21,24,-3,null,22,25,-3
Damien Harris,null,17,11,6,null,17,12,5,null,18,13,5
Darrell Henderson Jr.,null,15,19,-4,null,17,21,-4,null,18,22,-4
Miles Sanders,null,15,15,—,null,17,17,—,null,18,18,—
Ty'Son Williams,null,14,9,5,null,16,11,5,null,17,12,5
Myles Gaskin,null,11,14,-3,null,13,16,-3,null,14,17,-3
Chase Edmonds,null,10,7,3,null,12,9,3,null,14,11,3
Elijah Mitchell,null,10,10,—,null,12,12,—,null,13,13,—
Kareem Hunt,null,10,10,—,null,12,12,—,null,13,13,—
James Robinson,null,9,5,4,null,11,7,4,null,12,8,4
Mike Davis,null,9,15,-6,null,11,17,-6,null,12,18,-6
Melvin Gordon III,null,7,6,1,null,9,8,1,null,10,9,1
Javonte Williams,null,7,7,—,null,9,9,—,null,10,10,—
Jamaal Williams,null,6,6,—,null,8,8,—,null,9,9,—
Josh Jacobs,null,6,11,-5,null,7,12,-5,null,8,13,-5
Tony Pollard,null,5,3,2,null,7,4,3,null,8,5,3
Leonard Fournette,null,5,5,—,null,7,7,—,null,8,8,—
James White,null,5,4,1,null,7,6,1,null,9,8,1
Devin Singletary,null,4,4,—,null,6,6,—,null,7,7,—
Kenyan Drake,null,5,4,1,null,7,6,1,null,8,7,1
Nyheim Hines,null,4,4,—,null,6,6,—,null,8,8,—
Trey Sermon,null,4,9,-5,null,6,11,-5,null,7,12,-5
Latavius Murray,null,4,5,-1,null,5,6,-1,null,6,7,-1
James Conner,null,4,3,1,null,5,4,1,null,6,5,1
Sony Michel,null,4,N/A,4,null,5,N/A,5,null,5,N/A,5
Michael Carter,null,4,N/A,4,null,6,N/A,6,null,7,N/A,7
Alexander Mattison,null,4,N/A,4,null,6,N/A,6,null,7,N/A,7
Ronald Jones II,null,4,4,—,null,5,5,—,null,5,5,—
AJ Dillon,null,4,4,—,null,5,5,—,null,5,5,—
Cordarrelle Patterson,null,3,N/A,3,null,5,N/A,5,null,6,N/A,6
Kenneth Gainwell,null,3,3,—,null,4,4,—,null,5,5,—
J.D. McKissic,null,3,N/A,3,null,5,N/A,5,null,7,N/A,7